Measure Names,Year of Temp2.Dob,Measure Values,Number of Records
Number of Records,1949,3,3
Number of Records,1951,16,16
Number of Records,1958,7,7
Number of Records,1960,9,9
Number of Records,1965,19,19
Number of Records,1967,8,8
Number of Records,1970,10,10
Number of Records,1971,2,2
Number of Records,1972,12,12
Number of Records,1973,4,4
Number of Records,1974,43,43
Number of Records,1975,6,6
Number of Records,1979,26,26
Number of Records,1980,23,23
Number of Records,1981,18,18
Number of Records,1982,6,6
Number of Records,1983,5,5
Number of Records,1984,20,20
Number of Records,1986,18,18
Number of Records,1987,8,8
Number of Records,1988,49,49
Number of Records,1989,13,13
Number of Records,1990,11,11
Number of Records,1991,48,48
Number of Records,1992,9,9
Number of Records,1993,40,40
Number of Records,2008,4,4
